Event_date_dt,Event ID,Event Date,Source Name,Source Sectors,Source Country,Event Text,CAMEO_code,Intensity,Target Name,Target Sectors,Target Country,Story ID,Sentence Number,Publisher,City,District,Province,Country,Latitude,Longitude,Event_date_dt,CAMEO_case,case_clean,points
2013-06-01,20061839,2013-06-01,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27089537,4,Associated Press Newswires,Taksim,,Istanbul,Turkey,41.0371,28.9866,2013-06-01,Protest violently,Protest violently  riot  not specified below,POINT (28.9866 41.0371)
2013-06-01,20062282,2013-06-01,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27090235,1,Agence France-Presse,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-01,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-01,20062295,2013-06-01,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27090262,4,Agence France-Presse,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-01,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-01,20062530,2013-06-01,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27090631,4,Agence France-Presse,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-01,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-01,20062556,2013-06-01,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27090657,1,Agence France-Presse,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-01,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-01,20062572,2013-06-01,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27090688,2,Reuters News,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-01,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-01,20062589,2013-06-01,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Unspecified Actor,Unspecified,,27090713,4,Reuters News,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-01,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-01,20062764,2013-06-01,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27091033,1,Agence France-Presse,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-01,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-02,20064489,2013-06-02,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Turkey,,Turkey,27086443,6,The Christian Science Monitor,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-02,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-02,20065116,2013-06-02,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27088097,4,BBC Monitoring European,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-02,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-02,20065340,2013-06-02,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27088523,5,The Toronto Star,Taksim,,Istanbul,Turkey,41.0371,28.9866,2013-06-02,Protest violently,Protest violently  riot  not specified below,POINT (28.9866 41.0371)
2013-06-03,20068032,2013-06-03,Protester (Australia),"Protestors / Popular Opposition / Mobs,Dissident",Australia,"Protest violently, riot",145,-7.5,Police (Australia),"Police,Government",Australia,27086580,3,Australian Broadcasting Corporation (ABC) News,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-03,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-03,20071562,2013-06-03,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27169568,6,Xinhua News Agency,Gezi Park,,Istanbul,Turkey,41.0385,28.9869,2013-06-03,Protest violently,Protest violently  riot  not specified below,POINT (28.9869 41.0385)
2013-06-04,20075398,2013-06-04,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27165978,4,BBC Monitoring European,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-04,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-04,20075428,2013-06-04,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27166061,4,BBC Monitoring European,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-04,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-04,20075600,2013-06-04,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27166358,6,PNA (Philippines News Agency),Gezi Park,,Istanbul,Turkey,41.0385,28.9869,2013-06-04,Protest violently,Protest violently  riot  not specified below,POINT (28.9869 41.0385)
2013-06-04,20076513,2013-06-04,Citizen (Turkey),"General Population / Civilian / Social,Social",Turkey,"Protest violently, riot",145,-7.5,Military Personnel - Special (Turkey),"Government,Military",Turkey,27168524,2,Thai News Service,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-04,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-04,20076514,2013-06-04,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Military Personnel - Special (Turkey),"Government,Military",Turkey,27168524,4,Thai News Service,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-04,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-05,20079679,2013-06-05,Activist (Turkey),"Human Rights IGOs,Nongovernmental Organization (International),Nongovernmental Organizations / Activists,Human Rights NGOs",Turkey,"Protest violently, riot",145,-7.5,Military Personnel - Special (Turkey),"Government,Military",Turkey,27160441,5,Deutsche Welle,Gezi Park,,Istanbul,Turkey,41.0385,28.9869,2013-06-05,Protest violently,Protest violently  riot  not specified below,POINT (28.9869 41.0385)
2013-06-05,20080071,2013-06-05,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27161249,4,Xinhua News Agency,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-05,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-05,20081414,2013-06-05,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,33623271,5,Le Monde,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-05,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-05,20081422,2013-06-05,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Military (Turkey),"Government,Military",Turkey,33624202,2,Le Figaro,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-05,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-05,20081456,2013-06-05,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Military (Turkey),"Government,Military",Turkey,33625879,3,Le Figaro,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-05,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-06,20084765,2013-06-06,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27156903,5,Xinhua News Agency,Taksim,,Istanbul,Turkey,41.0371,28.9866,2013-06-06,Protest violently,Protest violently  riot  not specified below,POINT (28.9866 41.0371)
2013-06-06,20085402,2013-06-06,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27158270,2,The Nation (Thailand),Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-06,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-06,20085562,2013-06-06,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Military Personnel - Special (Turkey),"Government,Military",Turkey,27159090,5,Thai News Service,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-06,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-07,20087310,2013-06-07,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27149782,6,Reuters News,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-07,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-07,20087820,2013-06-07,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27150812,4,FARS News Agency,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-07,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-07,20087893,2013-06-07,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27150958,6,Agence France-Presse,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-07,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-08,20090810,2013-06-08,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27147644,4,Xinhua News Agency,Gezi Park,,Istanbul,Turkey,41.0385,28.9869,2013-06-08,Protest violently,Protest violently  riot  not specified below,POINT (28.9869 41.0385)
2013-06-08,20090869,2013-06-08,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Recep Tayyip Erdoğan,"Executive Office,Sunni,Parties,Executive,Government,(National) Major Party,Elite,Ideological,Center Right,International Religious",Turkey,27147715,1,Agence France-Presse,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-08,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-08,20091342,2013-06-08,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27148507,1,Xinhua News Agency,Gezi Park,,Istanbul,Turkey,41.0385,28.9869,2013-06-08,Protest violently,Protest violently  riot  not specified below,POINT (28.9869 41.0385)
2013-06-08,20091343,2013-06-08,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27148507,4,Xinhua News Agency,Gezi Park,,Istanbul,Turkey,41.0385,28.9869,2013-06-08,Protest violently,Protest violently  riot  not specified below,POINT (28.9869 41.0385)
2013-06-09,20093256,2013-06-09,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27145723,6,Agence France-Presse,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-09,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-10,20095292,2013-06-10,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27143759,4,Reuters News,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-10,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-10,20095323,2013-06-10,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27143839,4,Reuters News,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-10,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-11,20100865,2013-06-11,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27209284,4,Al Arabiya,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-11,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-11,20101043,2013-06-11,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27211800,1,Associated Press Newswires,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-11,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-11,20101314,2013-06-11,Citizen (Turkey),"General Population / Civilian / Social,Social",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27212596,2,Agence France-Presse,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-11,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-11,20101542,2013-06-11,Citizen (Turkey),"General Population / Civilian / Social,Social",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27212960,6,BBC Monitoring European,Taksim,,Istanbul,Turkey,41.0371,28.9866,2013-06-11,Protest violently,Protest violently  riot  not specified below,POINT (28.9866 41.0371)
2013-06-11,20101582,2013-06-11,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27213039,1,Agence France-Presse,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-11,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-11,20101605,2013-06-11,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27213070,4,FARS News Agency,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-11,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-11,20101606,2013-06-11,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27213070,6,FARS News Agency,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-11,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-11,20101812,2013-06-11,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27213564,6,Agence France-Presse,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-11,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-11,20101880,2013-06-11,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27213691,4,EFE News Service,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-11,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
